Name,Lat,Long,SQ
kwh1,-82.00881634,24.54008895,KWH1
kwh2,-82.00876531,24.54018023,KWH2
kwh3,-82.00876907,24.54018065,KWH3
kwh4,-82.00866326,24.54036384,KWH4
kwh5,-82.00858369,24.54042295,KWH5
kwh6,-82.00863971,24.54050977,KWH6
kwh7,-82.00863722,24.54059564,KWH7
kwh8,-82.0086662,24.54063069,KWH8
kwh9,-82.00864146,24.5408447,KWH9
kwh10,-82.00868489,24.54092502,KWH10
kwh11,-82.00873848,24.54100904,KWH11
kwh12,-82.00873562,24.54111654,KWH12
kwh13,-82.00878272,24.54121536,KWH13
kwh14,-82.00883763,24.54132317,KWH14
kwh15,-82.00884277,24.54145264,KWH15
kwh16,-82.00886845,24.54155586,KWH16
kwh17,-82.00895737,24.54159812,KWH17
kwh18,-82.00899061,24.54165052,KWH18
kwh19,-82.00924252,24.54157103,KWH19
kwh20,-82.0093239,24.54152685,KWH20
kwh21,-82.00943686,24.54152795,KWH21
kwh22,-82.00956986,24.54140902,KWH22
kwh23,-82.00959062,24.54137554,KWH23
kwh24,-82.00951771,24.54105647,KWH24
kwh25,-82.00954307,24.5408769,KWH25
kwh26,-82.00954186,24.5407634,KWH26
kwh27,-82.00954213,24.54072924,KWH27
kwh28,-82.00947587,24.54047078,KWH28
kwh29,-82.00935425,24.54038899,KWH29
kwh30,-82.00925611,24.540296,KWH30
lkh1,-81.92376358,24.60841066,LKH1
lkh2,-81.92377764,24.60849909,LKH2
lkh3,-81.92382631,24.60855933,LKH3
lkh4,-81.92381839,24.6085442,LKH4
lkh5,-81.92386208,24.6086979,LKH5
lkh6,-81.92390254,24.60876042,LKH6
lkh7,-81.9239626,24.60884739,LKH7
lkh8,-81.92401608,24.60894049,LKH8
lkh9,-81.92402263,24.60902769,LKH9
lkh10,-81.9239912,24.60911845,LKH10
lkh11,-81.92397247,24.60922868,LKH11
lkh12,-81.92386864,24.60930295,LKH12
lkh13,-81.92381797,24.60936673,LKH13
lkh14,-81.92373662,24.60946218,LKH14
lkh15,-81.92359356,24.60948568,LKH15
lkh16,-81.92348426,24.60944472,LKH16
lkh17,-81.92337476,24.60939142,LKH17
lkh18,-81.92323409,24.60937665,LKH18
lkh19,-81.923067,24.6093114,LKH19
lkh20,-81.92297095,24.60925035,LKH20
lkh21,-81.92292649,24.6091233,LKH21
lkh22,-81.92290601,24.6090046,LKH22
lkh23,-81.92292698,24.60885353,LKH23
lkh24,-81.92299803,24.60872524,LKH24
lkh25,-81.92300113,24.60864087,LKH25
lkh26,-81.92309291,24.60854109,LKH26
lkh27,-81.92322527,24.60844953,LKH27
lkh28,-81.92325416,24.60826665,LKH28
lkh29,-81.92345296,24.60825251,LKH29
lkh30,-81.92349828,24.60823526,LKH30
SOK1,-80.16216198,25.59014532,SOK1
SOK2,-80.16214505,25.59014713,SOK2
SOK3,-80.16217184,25.59015575,SOK3
SOK4,-80.16215918,25.59012441,SOK4
SOK5,-80.16220192,25.59012637,SOK5
SOK6,-80.16215177,25.59004244,SOK6
SOK7,-80.16204832,25.59005532,SOK7
SOK8,-80.16203959,25.58999774,SOK8
SOK9,-80.16197106,25.58997314,SOK9
SOK10,-80.16198847,25.58988965,SOK10
SOK11,-80.16192461,25.58992875,SOK11
