"","SQ","Region","Name.x","Site","Quad","CH..cm.","Tot","Tt","Hw","Sf","Drift","Halimeda","Bat","Pen","O.Calc","Epiphyte.Load","Notes","Name.y","Lat","Long"
"1","BUB1","Upper Keys","Buchanan Bank","BUB",1,NA,13,4,NA,NA,6,NA,NA,3,NA,NA,"","bub1",-80.76641419,24.91690062
"2","BUB10","Upper Keys","Buchanan Bank","BUB",10,NA,35,10,NA,NA,15,4,6,NA,NA,NA,"","bub10",-80.76668044,24.91755855
"3","BUB11","Upper Keys","Buchanan Bank","BUB",11,NA,34,16,NA,NA,4,4,4,6,NA,NA,"","bub11",-80.76662912,24.91759922
"4","BUB12","Upper Keys","Buchanan Bank","BUB",12,NA,37,8,NA,NA,16,3,4,6,NA,NA,"","bub12",-80.76655036,24.91763808
"5","BUB13","Upper Keys","Buchanan Bank","BUB",13,NA,28,6,12,NA,2,3,3,2,NA,NA,"","bub13",-80.76646914,24.91764444
"6","BUB14","Upper Keys","Buchanan Bank","BUB",14,NA,21,NA,8,NA,6,3,4,NA,NA,NA,"","bub14",-80.76638423,24.91766273
"7","BUB15","Upper Keys","Buchanan Bank","BUB",15,NA,22,2,4,NA,4,3,3,6,NA,NA,"","bub15",-80.76628286,24.91764726
"8","BUB16","Upper Keys","Buchanan Bank","BUB",16,NA,26,8,4,NA,5,3,4,2,NA,NA,"","bub16",-80.76628327,24.91764662
"9","BUB17","Upper Keys","Buchanan Bank","BUB",17,NA,32,8,12,NA,6,NA,2,4,NA,NA,"","bub17",-80.76612234,24.91761026
"10","BUB18","Upper Keys","Buchanan Bank","BUB",18,NA,24,5,6,NA,3,4,3,3,NA,NA,"","bub18",-80.76604378,24.91758073
"11","BUB19","Upper Keys","Buchanan Bank","BUB",19,NA,19,2,3,NA,4,3,3,4,NA,NA,"","bub19",-80.76596801,24.9175473
"12","BUB2","Upper Keys","Buchanan Bank","BUB",2,NA,27,8,NA,NA,6,NA,6,5,2,NA,"","bub2",-80.76647551,24.91696376
